epoch,train_loss,valid_loss,has_train_loss_improved,has_valid_loss_improved,duration
0,7.58254e-05,7.89097030065e-05,1,1,4.41273188591
1,7.58138e-05,7.89142650319e-05,1,0,4.40771484375
2,7.58105e-05,7.89139885455e-05,1,0,4.38940310478
3,7.58083e-05,7.89126497693e-05,1,0,4.39485406876
4,7.58064e-05,7.89110708865e-05,1,0,4.42278313637
5,7.58045e-05,7.89094337961e-05,1,1,4.41921496391
6,7.58026e-05,7.89077603258e-05,1,1,4.40280604362
7,7.58008e-05,7.89060868556e-05,1,1,4.40708708763
8,7.57989e-05,7.89043988334e-05,1,1,4.40168499947
9,7.57971e-05,7.89026962593e-05,1,1,4.40379786491
10,7.57952e-05,7.89009718574e-05,1,1,4.38874483109
11,7.57933e-05,7.88992474554e-05,1,1,4.38905906677
12,7.57915e-05,7.88975012256e-05,1,1,4.37354397774
13,7.57896e-05,7.88957622717e-05,1,1,4.37035393715
14,7.57878e-05,7.88940160419e-05,1,1,4.37051391602
15,7.57859e-05,7.88922698121e-05,1,1,4.37171792984
16,7.57841e-05,7.88905235822e-05,1,1,4.37093615532
17,7.57822e-05,7.88887628005e-05,1,1,4.3739118576
18,7.57804e-05,7.88870165707e-05,1,1,4.37074613571
19,7.57785e-05,7.8885248513e-05,1,1,4.37259292603
20,7.57767e-05,7.88835022831e-05,1,1,4.37031006813
21,7.57748e-05,7.88817415014e-05,1,1,4.37151479721
22,7.5773e-05,7.88799879956e-05,1,1,4.3723089695
23,7.57712e-05,7.88782272139e-05,1,1,4.37085103989
24,7.57693e-05,7.88764664321e-05,1,1,4.37609815598
25,7.57675e-05,7.88747129263e-05,1,1,4.37357187271
26,7.57656e-05,7.88729594206e-05,1,1,4.37146687508
27,7.57638e-05,7.88711986388e-05,1,1,4.37296795845
28,7.5762e-05,7.8869445133e-05,1,1,4.37177395821
29,7.57601e-05,7.88676916272e-05,1,1,4.3710501194
30,7.57583e-05,7.88659381215e-05,1,1,4.37174987793
31,7.57564e-05,7.88641918916e-05,1,1,4.38898205757
32,7.57546e-05,7.88624383858e-05,1,1,4.37387299538
33,7.57528e-05,7.8860692156e-05,1,1,4.41541004181
34,7.57509e-05,7.88589459262e-05,1,1,4.421833992
35,7.57491e-05,7.88571924204e-05,1,1,4.39723110199
36,7.57473e-05,7.88554461906e-05,1,1,4.38799500465
37,7.57454e-05,7.88536926848e-05,1,1,4.37049508095
38,7.57436e-05,7.8851946455e-05,1,1,4.37188100815
39,7.57418e-05,7.88501929492e-05,1,1,4.37104415894
40,7.57399e-05,7.88484612713e-05,1,1,4.37276697159
41,7.57381e-05,7.88467223174e-05,1,1,4.3707678318
42,7.57363e-05,7.88449615357e-05,1,1,4.37106895447
43,7.57344e-05,7.88432371337e-05,1,1,4.37124705315
44,7.57326e-05,7.88414909039e-05,1,1,4.37267899513
45,7.57308e-05,7.8839759226e-05,1,1,4.38482117653
46,7.5729e-05,7.88380202721e-05,1,1,4.37054300308
47,7.57271e-05,7.88362885942e-05,1,1,4.3753349781
48,7.57253e-05,7.88345569163e-05,1,1,4.36921191216
49,7.57235e-05,7.88328325143e-05,1,1,4.37300395966
50,7.57216e-05,7.88311153883e-05,1,1,4.37095594406
51,7.57198e-05,7.88293909864e-05,1,1,4.37041401863
52,7.5718e-05,7.88276447565e-05,1,1,4.3899140358
53,7.57162e-05,7.88259276305e-05,1,1,4.37160801888
54,7.57143e-05,7.88241959526e-05,1,1,4.37249493599
55,7.57125e-05,7.88224788266e-05,1,1,4.37282085419
56,7.57107e-05,7.88207617006e-05,1,1,4.38355994225
57,7.57089e-05,7.88190372987e-05,1,1,4.37168192863
58,7.57071e-05,7.88173128967e-05,1,1,4.3742108345
59,7.57052e-05,7.88155957707e-05,1,1,4.37228894234
60,7.57034e-05,7.88138713688e-05,1,1,4.37059998512
61,7.57016e-05,7.88121687947e-05,1,1,4.37211894989
62,7.56998e-05,7.88104371168e-05,1,1,4.37325501442
63,7.56979e-05,7.88087199908e-05,1,1,4.37263202667
64,7.56961e-05,7.88070028648e-05,1,1,4.3693780899
65,7.56943e-05,7.88053002907e-05,1,1,4.36950492859
66,7.56925e-05,7.88035831647e-05,1,1,4.3725259304
67,7.56907e-05,7.88018733147e-05,1,1,4.38017892838
68,7.56888e-05,7.88001561887e-05,1,1,4.38050508499
69,7.5687e-05,7.87984536146e-05,1,1,4.37047219276
70,7.56852e-05,7.87967364886e-05,1,1,4.38023686409
71,7.56834e-05,7.87950266385e-05,1,1,4.38282799721
72,7.56816e-05,7.87933313404e-05,1,1,4.38803195953
73,7.56798e-05,7.87916142144e-05,1,1,4.37211298943
74,7.56779e-05,7.87898970884e-05,1,1,4.37020421028
75,7.56761e-05,7.87881945143e-05,1,1,4.37200212479
76,7.56743e-05,7.87864919403e-05,1,1,4.37071204185
77,7.56725e-05,7.87847893662e-05,1,1,4.37099599838
78,7.56707e-05,7.87830940681e-05,1,1,4.37248587608
79,7.56689e-05,7.8781391494e-05,1,1,4.37176799774
80,7.5667e-05,7.8779674368e-05,1,1,4.38540697098
81,7.56652e-05,7.87779645179e-05,1,1,4.38223004341
82,7.56634e-05,7.87762692198e-05,1,1,4.37304496765
83,7.56616e-05,7.87745593698e-05,1,1,4.36866211891
