epoch,train_loss,valid_loss,has_train_loss_improved,has_valid_loss_improved,duration
0,0.261146,0.31486093998,1,1,180.626806974
1,0.258846,0.313677042723,1,1,167.163465023
2,0.258324,0.313356429338,1,1,173.293549061
3,0.257695,0.312979340553,1,1,168.316438913
4,0.257327,0.312060534954,1,1,168.281513929
5,0.257005,0.311759084463,1,1,164.314898014
6,0.256614,0.311298072338,1,1,180.597133875
7,0.256633,0.310914427042,0,1,168.569130898
8,0.25637,0.310929954052,1,0,177.277430058
9,0.256276,0.311192184687,1,0,171.867179155
10,0.255956,0.31012314558,1,1,166.887724161
11,0.255881,0.309916853905,1,1,161.079957008
12,0.255751,0.310274720192,1,0,161.355768204
13,0.255926,0.310471653938,0,0,162.006682873
14,0.255613,0.310687065125,1,0,160.801794767
15,0.255491,0.309944778681,1,0,158.652529955
16,0.255367,0.30979552865,1,1,154.998498201
17,0.25539,0.309564203024,0,1,156.369022131
18,0.255499,0.309239983559,0,1,162.132316113
19,0.25503,0.309997946024,1,0,159.968989134
20,0.255162,0.309284389019,0,0,156.518172026
21,0.254959,0.309145927429,1,1,155.304928064
22,0.254998,0.309648036957,0,0,156.86349988
23,0.254849,0.30931660533,1,0,156.465188026
24,0.254867,0.309112101793,0,1,151.695325136
25,0.254682,0.308867484331,1,1,152.035599947
26,0.254904,0.308802604675,0,1,159.11066103
27,0.254593,0.308460146189,1,1,158.845514059
28,0.254435,0.308929502964,1,0,157.21779418
29,0.254315,0.309989333153,1,0,163.643554926
30,0.254642,0.308806747198,0,0,155.590895176
31,0.254303,0.308653384447,1,0,150.608974934
32,0.254428,0.30893611908,0,0,156.216539145
33,0.25419,0.309135138988,1,0,156.975626945
34,0.254141,0.307845562696,1,1,154.032647848
35,0.254078,0.308371216059,1,0,157.323544979
36,0.253935,0.30832016468,1,0,154.619379997
37,0.254173,0.30852869153,0,0,159.463275909
38,0.253864,0.307914555073,1,0,159.610440969
39,0.253764,0.307073384523,1,1,153.919447184
40,0.253647,0.307835310698,1,0,156.548099041
41,0.253634,0.307239055634,1,0,157.226406813
42,0.253742,0.308185279369,0,0,155.00049901
43,0.253389,0.307400882244,1,0,155.283154011
44,0.253537,0.307598590851,0,0,157.76305604
45,0.254774,0.307395100594,0,0,157.963332891
46,0.253221,0.307340115309,1,0,163.215995073
47,0.253607,0.308129221201,0,0,162.237610102
48,0.253609,0.308184891939,0,0,160.555990934
49,0.253395,0.307863622904,0,0,167.822537184
50,0.253268,0.30843809247,0,0,166.613313913
51,0.253159,0.307038128376,1,1,175.363178015
52,0.253158,0.306956112385,1,1,176.908469915
53,0.253009,0.307572633028,1,0,171.370193958
54,0.252862,0.306949257851,1,1,163.541110992
55,0.25273,0.307434886694,1,0,173.379647017
56,0.252955,0.307816654444,0,0,171.842736959
57,0.253327,0.306781023741,0,1,175.842221975
58,0.252841,0.307807534933,0,0,177.247546911
59,0.252883,0.306984305382,0,0,179.907496929
60,0.252648,0.307391405106,1,0,172.927322149
61,0.252753,0.307054281235,0,0,173.49380517
62,0.252671,0.307124167681,0,0,172.704367161
63,0.252545,0.307517051697,1,0,168.255083799
64,0.252474,0.30667090416,1,1,169.919614077
65,0.252365,0.306452602148,1,1,175.087277889
66,0.252504,0.306998342276,0,0,170.61434412
67,0.252239,0.306694537401,1,0,172.92809701
68,0.252242,0.307096779346,0,0,171.824774027
69,0.252294,0.306211650372,0,1,181.332808018
70,0.252095,0.306471258402,1,0,172.090991974
71,0.252181,0.306229352951,0,0,170.092924833
72,0.25227,0.306875914335,0,0,170.075710058
73,0.251781,0.306553959846,1,0,174.839613914
74,0.25213,0.305777341127,0,1,178.643941879
75,0.251919,0.305774271488,0,1,170.006063938
76,0.251992,0.305576771498,0,1,170.800149918
77,0.252082,0.306112617254,0,0,173.92636919
78,0.251761,0.306185096502,1,0,172.973827839
79,0.251729,0.306061029434,1,0,164.033018827
80,0.251724,0.306231111288,1,0,164.800571918
81,0.251712,0.306377887726,1,0,165.567098141
82,0.251611,0.306304246187,1,0,171.350134134
83,0.251496,0.305917710066,1,0,166.34295702
84,0.251515,0.305783212185,0,0,162.849205971
85,0.251522,0.305912166834,0,0,164.839190006
86,0.251369,0.305964142084,1,0,161.221316099
87,0.251468,0.30515101552,0,1,159.970364094
88,0.251412,0.305901318789,0,0,167.676461935
89,0.251431,0.305440753698,0,0,173.746869087
90,0.25134,0.306079387665,1,0,171.382094145
91,0.251197,0.304951161146,1,1,171.880103827
92,0.251146,0.305269122124,1,0,170.390737057
93,0.251334,0.306084662676,0,0,172.135082006
94,0.25108,0.306685805321,1,0,171.982988834
95,0.250954,0.3054510355,1,0,171.292979956
96,0.251082,0.3057282269,0,0,175.772563934
97,0.250956,0.305687099695,0,0,168.054554939
98,0.25104,0.304470807314,0,1,169.422749996
99,0.250837,0.304968446493,1,0,174.648947954
100,0.251038,0.305288255215,0,0,171.321985006
101,0.250961,0.30550763011,0,0,175.031394958
102,0.250782,0.305713057518,1,0,170.439567804
103,0.250575,0.304001092911,1,1,171.416562796
104,0.250753,0.304992556572,0,0,171.001952887
105,0.250949,0.30526009202,0,0,174.815948963
106,0.250635,0.304920107126,0,0,175.429873943
107,0.250643,0.304212123156,0,0,178.963668108
108,0.250643,0.304840177298,0,0,180.38657403
109,0.250523,0.30487331748,1,0,172.038265944
110,0.250356,0.305373549461,1,0,165.169048071
111,0.250415,0.305499583483,0,0,177.694481134
112,0.250261,0.30428892374,1,0,178.084352016
113,0.250328,0.304379463196,0,0,160.666363955
114,0.250235,0.304471194744,1,0,160.048851013
115,0.250376,0.305163025856,0,0,157.623800993
116,0.25018,0.304963350296,1,0,179.620375156
117,0.250127,0.305196851492,1,0,168.390658855
118,0.250026,0.304639726877,1,0,181.230592012
119,0.25004,0.30545052886,0,0,163.326372862
120,0.250151,0.305654376745,0,0,165.065205097
121,0.250251,0.304237663746,0,0,159.357259035
122,0.24983,0.30395591259,1,1,163.984221935
123,0.249762,0.303524017334,1,1,162.907968044
124,0.250146,0.304742634296,0,0,160.095974922
125,0.249554,0.303850620985,1,0,161.58106184
126,0.249753,0.303879350424,0,0,162.93334794
127,0.249802,0.304573446512,0,0,159.171353102
128,0.249717,0.3046438694,0,0,166.616540194
129,0.249904,0.304541736841,0,0,162.933007956
130,0.249636,0.304261684418,0,0,165.24606204
131,0.249603,0.303991913795,0,0,163.299041033
132,0.24968,0.304337382317,0,0,167.532345772
133,0.249453,0.304181426764,1,0,158.976987123
134,0.249754,0.303927838802,0,0,163.07737112
135,0.249353,0.304218143225,1,0,162.674557924
136,0.249492,0.304115742445,0,0,167.446613073
137,0.249547,0.303936779499,0,0,157.61312294
138,0.249208,0.30437245965,1,0,166.371952057
139,0.250163,0.303845196962,0,0,161.480414867
140,0.249104,0.308168530464,1,0,161.24596405
141,0.249607,0.304603725672,0,0,167.959724903
142,0.249258,0.304409503937,0,0,174.265655041
143,0.249048,0.303418815136,1,1,169.735093832
144,0.249083,0.304478794336,0,0,172.847441912
145,0.249137,0.303689181805,0,0,173.405036926
146,0.249162,0.304398804903,0,0,174.791019917
147,0.249056,0.303414344788,0,1,171.432379961
148,0.248963,0.303667485714,1,0,170.268549919
149,0.248788,0.30341693759,1,0,174.274883032
150,0.249081,0.303463816643,0,0,170.753832102
151,0.248705,0.303367227316,1,1,171.973996878
152,0.248902,0.305024057627,0,0,168.447471857
153,0.249083,0.303301692009,0,1,171.846875191
154,0.24854,0.302779942751,1,1,168.252882004
155,0.248818,0.304199963808,0,0,171.219701052
156,0.248782,0.303427487612,0,0,171.282015085
157,0.248517,0.30350574851,1,0,169.484939098
158,0.248639,0.303019344807,0,0,170.412959099
159,0.248576,0.303318828344,0,0,174.453718901
160,0.248369,0.302486479282,1,1,173.306273937
161,0.248343,0.303968787193,1,0,173.72927022
162,0.248646,0.303671747446,0,0,165.157069921
163,0.248654,0.303966134787,0,0,166.325479984
164,0.248596,0.301874995232,0,1,160.253894091
165,0.248279,0.302856653929,1,0,159.713522911
166,0.248178,0.303332924843,1,0,165.391192913
167,0.248525,0.303986161947,0,0,170.403747082
168,0.249108,0.30242305994,0,0,166.346792221
169,0.248158,0.303347826004,1,0,171.489480019
170,0.247987,0.303521037102,1,0,172.870930195
171,0.248114,0.302760779858,0,0,173.65841198
172,0.247971,0.30272758007,1,0,170.419216871
173,0.248003,0.303246021271,0,0,173.245366812
174,0.248123,0.303032040596,0,0,171.161186934
175,0.247963,0.302144110203,1,0,167.883543968
176,0.24795,0.302243858576,1,0,172.260931969
177,0.247755,0.303310662508,1,0,172.434442043
178,0.248019,0.30277082324,0,0,165.018608093
179,0.24806,0.302125990391,0,0,159.206765175
180,0.247898,0.302789956331,0,0,174.185108185
181,0.247635,0.302226781845,1,0,171.969236851
182,0.247728,0.304215610027,0,0,168.814220905
183,0.247825,0.302611321211,0,0,172.493402004
184,0.247664,0.303260505199,0,0,172.183191061
185,0.247887,0.302789568901,0,0,173.246243954
186,0.24754,0.302894473076,1,0,173.190505028
187,0.247489,0.302336186171,1,0,170.905936003
188,0.247329,0.303401231766,1,0,168.815029144
189,0.247557,0.303904563189,0,0,171.431329012
190,0.247746,0.30243113637,0,0,169.477905035
191,0.247473,0.303199470043,0,0,177.079103947
192,0.247517,0.3025842309,0,0,172.370940924
193,0.2473,0.301945537329,1,0,171.678278208
194,0.2472,0.303340375423,1,0,170.875695944
195,0.247414,0.303480446339,0,0,170.12278986
196,0.247363,0.302242159843,0,0,178.416954994
197,0.247253,0.302702754736,0,0,176.44848609
198,0.247282,0.301366955042,0,1,172.3654778
199,0.247259,0.302179276943,0,0,169.126139879
200,0.246907,0.301339536905,1,1,168.430676937
201,0.247145,0.302892446518,0,0,176.771017075
202,0.247049,0.30359429121,0,0,173.590409994
203,0.247023,0.301399558783,0,0,171.468441963
204,0.246929,0.302179932594,0,0,178.680042982
205,0.247114,0.302000373602,0,0,179.381150007
206,0.246933,0.302402347326,0,0,165.945950985
207,0.24672,0.301314502954,1,1,153.538655996
208,0.246945,0.302381366491,0,0,152.162795782
