epoch,train_loss,valid_loss,has_train_loss_improved,has_valid_loss_improved,duration
0,0.0117364,0.000497332366649,1,1,18.7459750175
1,0.000300408,0.000200084890821,1,1,18.831674099
2,0.000165678,0.000139361829497,1,1,19.0604381561
3,0.000124993,0.000113065390906,1,1,19.3271150589
4,0.000105894,9.9637072708e-05,1,1,19.9622788429
5,9.55971e-05,9.20188249438e-05,1,1,19.9322388172
6,8.94892e-05,8.70383883012e-05,1,1,19.9742510319
7,8.54416e-05,8.36956169223e-05,1,1,20.0544860363
8,8.25593e-05,8.12725047581e-05,1,1,20.1916468143
9,8.04286e-05,7.94278967078e-05,1,1,20.2641320229
10,7.86717e-05,7.78484245529e-05,1,1,20.2752439976
11,7.72834e-05,7.65357908676e-05,1,1,20.3512399197
12,7.61068e-05,7.5410840509e-05,1,1,20.4820840359
13,7.51238e-05,7.44768694858e-05,1,1,20.2865760326
14,7.42167e-05,7.36972724553e-05,1,1,20.3950250149
15,7.3442e-05,7.29294624762e-05,1,1,20.5024049282
16,7.27795e-05,7.2292801633e-05,1,1,20.3830690384
17,7.21407e-05,7.17268776498e-05,1,1,20.4822390079
18,7.15999e-05,7.12028413545e-05,1,1,20.4474349022
19,7.10752e-05,7.06731443643e-05,1,1,20.4496080875
20,7.06015e-05,7.02814140823e-05,1,1,20.4525229931
21,7.02055e-05,6.98236108292e-05,1,1,20.3788249493
22,6.97837e-05,6.94994378136e-05,1,1,20.4969198704
23,6.94541e-05,6.92151224939e-05,1,1,20.3951380253
24,6.91139e-05,6.87841311446e-05,1,1,20.4467289448
25,6.87859e-05,6.84746773914e-05,1,1,20.3983230591
26,6.84817e-05,6.82746831444e-05,1,1,20.4283089638
27,6.82311e-05,6.80219527567e-05,1,1,20.4547150135
28,6.7934e-05,6.76794006722e-05,1,1,20.4932229519
29,6.77176e-05,6.74923940096e-05,1,1,20.4788241386
30,6.74821e-05,6.72329333611e-05,1,1,20.411646843
31,6.72417e-05,6.70252047712e-05,1,1,20.4992530346
32,6.70641e-05,6.68531574775e-05,1,1,20.4255461693
33,6.68407e-05,6.67260683258e-05,1,1,20.3934249878
34,6.66822e-05,6.64479302941e-05,1,1,20.4208991528
35,6.65047e-05,6.62685706629e-05,1,1,20.4123430252
36,6.63355e-05,6.61243248032e-05,1,1,20.3935210705
37,6.6156e-05,6.59052457195e-05,1,1,20.4084789753
38,6.59868e-05,6.5747917688e-05,1,1,20.4187159538
39,6.58601e-05,6.56372940284e-05,1,1,20.4348480701
40,6.56873e-05,6.55287221889e-05,1,1,20.439111948
41,6.55751e-05,6.53970200801e-05,1,1,20.4257209301
42,6.54319e-05,6.52267335681e-05,1,1,20.4111099243
43,6.53348e-05,6.5109001298e-05,1,1,20.4240698814
44,6.51844e-05,6.4975276473e-05,1,1,20.4027998447
45,6.50793e-05,6.49200446787e-05,1,1,20.3949940205
46,6.49678e-05,6.47522174404e-05,1,1,20.3898239136
47,6.48355e-05,6.46447151667e-05,1,1,20.3665800095
48,6.47652e-05,6.45489926683e-05,1,1,20.3778488636
49,6.46342e-05,6.44592437311e-05,1,1,20.3764488697
50,6.4537e-05,6.43417370156e-05,1,1,20.3809530735
51,6.44427e-05,6.43014500383e-05,1,1,20.3857080936
52,6.43458e-05,6.42217273708e-05,1,1,20.4732968807
53,6.42704e-05,6.40804355498e-05,1,1,20.3586468697
54,6.41666e-05,6.39815698378e-05,1,1,20.4434559345
55,6.40826e-05,6.39520512777e-05,1,1,20.4122979641
56,6.39882e-05,6.3848157879e-05,1,1,20.3839409351
57,6.392e-05,6.37350021861e-05,1,1,20.427467823
58,6.38396e-05,6.37050907244e-05,1,1,20.3952929974
59,6.37393e-05,6.35518008494e-05,1,1,20.3777840137
60,6.36785e-05,6.3599414716e-05,1,0,19.351140976
61,6.35908e-05,6.34558600723e-05,1,1,20.700936079
62,6.35456e-05,6.35449541733e-05,1,0,19.2851009369
63,6.34574e-05,6.33899617242e-05,1,1,20.6244411469
64,6.33696e-05,6.33379022474e-05,1,1,20.4667711258
65,6.3353e-05,6.31484508631e-05,1,1,20.4780569077
66,6.32724e-05,6.31112925475e-05,1,1,20.4571499825
67,6.32061e-05,6.30243157502e-05,1,1,20.3859570026
68,6.31312e-05,6.29814021522e-05,1,1,20.482104063
69,6.30847e-05,6.29250862403e-05,1,1,20.4581310749
70,6.30031e-05,6.29831411061e-05,1,0,19.3565568924
71,6.29665e-05,6.2794155383e-05,1,1,20.6458280087
72,6.28998e-05,6.28261332167e-05,1,0,19.3124649525
73,6.28622e-05,6.27160261502e-05,1,1,20.679530859
74,6.2778e-05,6.26044129604e-05,1,1,20.3272750378
75,6.27466e-05,6.25961838523e-05,1,1,20.4325349331
76,6.26977e-05,6.25293323537e-05,1,1,20.4255158901
77,6.26444e-05,6.25067041256e-05,1,1,20.4045639038
78,6.25974e-05,6.24218664598e-05,1,1,20.4407830238
79,6.25355e-05,6.24259046162e-05,1,0,19.2504739761
