epoch,train_loss,valid_loss,has_train_loss_improved,has_valid_loss_improved,duration
0,0.000949782,0.000382791127777,1,1,16.0769441128
1,0.00023554,0.000138484116178,1,1,18.6210410595
2,0.000106565,8.56291080709e-05,1,1,18.8003821373
3,7.4225e-05,6.81991878082e-05,1,1,19.5620980263
4,6.33336e-05,6.01245737926e-05,1,1,18.9605607986
5,5.82399e-05,5.66024682485e-05,1,1,19.2544300556
6,5.45521e-05,5.25990762981e-05,1,1,19.3632390499
7,5.1458e-05,5.01065078424e-05,1,1,19.0198540688
8,4.93708e-05,4.83716030431e-05,1,1,19.1106259823
9,4.77628e-05,4.70178129035e-05,1,1,19.547399044
10,4.65266e-05,4.58983013232e-05,1,1,19.0641191006
11,4.54909e-05,4.49400649813e-05,1,1,19.145758152
12,4.45913e-05,4.41089068772e-05,1,1,19.5145330429
13,4.38261e-05,4.33751338278e-05,1,1,19.0348482132
14,4.31312e-05,4.27197846875e-05,1,1,19.2279551029
15,4.24993e-05,4.2128333007e-05,1,1,19.4156479836
16,4.19313e-05,4.160219396e-05,1,1,19.1296288967
17,4.14449e-05,4.11197688663e-05,1,1,19.210362196
18,4.09713e-05,4.06888284488e-05,1,1,19.4225559235
19,4.05741e-05,4.03016347263e-05,1,1,19.0936150551
20,4.01951e-05,3.99439923058e-05,1,1,19.2726719379
21,3.98713e-05,3.96210525651e-05,1,1,19.4146740437
22,3.95375e-05,3.93239643017e-05,1,1,19.1466929913
23,3.92602e-05,3.90516870539e-05,1,1,19.2214510441
24,3.90061e-05,3.87984546251e-05,1,1,19.4719011784
25,3.87704e-05,3.85650673707e-05,1,1,19.0078818798
26,3.85206e-05,3.83482656616e-05,1,1,19.1771018505
27,3.83087e-05,3.81449426641e-05,1,1,19.4826588631
28,3.81269e-05,3.79565863113e-05,1,1,19.0807499886
29,3.79398e-05,3.77781652787e-05,1,1,19.1247358322
30,3.77697e-05,3.76120951842e-05,1,1,19.432103157
31,3.76169e-05,3.74551054847e-05,1,1,19.0388450623
32,3.74546e-05,3.73074399249e-05,1,1,19.0960218906
33,3.73008e-05,3.71677706426e-05,1,1,19.3644330502
34,3.71795e-05,3.70383750123e-05,1,1,19.226252079
35,3.70343e-05,3.69120352843e-05,1,1,19.1341540813
36,3.69196e-05,3.67947868654e-05,1,1,19.435256958
37,3.68085e-05,3.66801323253e-05,1,1,19.1149358749
38,3.67036e-05,3.65731175407e-05,1,1,19.2996258736
39,3.66172e-05,3.64705156244e-05,1,1,19.2933850288
40,3.64918e-05,3.63728540833e-05,1,1,19.2902610302
41,3.63941e-05,3.62798091373e-05,1,1,19.178098917
42,3.63339e-05,3.61909587809e-05,1,1,19.3542630672
43,3.62349e-05,3.61071070074e-05,1,1,19.234140873
44,3.61388e-05,3.60242120223e-05,1,1,19.2273938656
45,3.60615e-05,3.59469122486e-05,1,1,19.275616169
46,3.59978e-05,3.58713587048e-05,1,1,19.1223738194
47,3.59131e-05,3.57990647899e-05,1,1,19.2489459515
48,3.58486e-05,3.57291173714e-05,1,1,19.3240888119
49,3.57623e-05,3.56628588634e-05,1,1,19.1008899212
50,3.57192e-05,3.55979645974e-05,1,1,19.1859419346
51,3.56484e-05,3.55360207323e-05,1,1,19.3393769264
52,3.55818e-05,3.54763651558e-05,1,1,19.1772201061
53,3.55386e-05,3.54188341589e-05,1,1,19.1755871773
54,3.54594e-05,3.53622235707e-05,1,1,19.4617710114
55,3.54109e-05,3.53092873411e-05,1,1,18.981910944
56,3.53707e-05,3.52560127794e-05,1,1,19.20652318
57,3.53068e-05,3.52057504642e-05,1,1,19.4589381218
58,3.52606e-05,3.5156353988e-05,1,1,19.2557151318
59,3.52143e-05,3.51085291186e-05,1,1,19.0148899555
60,3.51616e-05,3.50628761225e-05,1,1,19.4764251709
61,3.51025e-05,3.50174923369e-05,1,1,19.0638289452
62,3.50916e-05,3.4973872971e-05,1,1,19.2724351883
63,3.50231e-05,3.49313340848e-05,1,1,19.3662350178
64,3.50137e-05,3.48903158738e-05,1,1,19.1836378574
65,3.49537e-05,3.48500434484e-05,1,1,19.1643979549
66,3.49004e-05,3.48112807842e-05,1,1,19.4555439949
67,3.4873e-05,3.47742643498e-05,1,1,19.0606219769
68,3.48234e-05,3.47365057678e-05,1,1,19.2351639271
69,3.48167e-05,3.4700417018e-05,1,1,19.4606771469
70,3.47637e-05,3.46661290678e-05,1,1,19.1442770958
71,3.47259e-05,3.46314045601e-05,1,1,19.1443738937
72,3.46954e-05,3.45980624843e-05,1,1,19.5904829502
73,3.46682e-05,3.45655062119e-05,1,1,18.9871068001
74,3.46311e-05,3.45339467458e-05,1,1,19.2290849686
75,3.46037e-05,3.45027947333e-05,1,1,19.4571650028
76,3.45648e-05,3.44729269273e-05,1,1,19.1954760551
77,3.45293e-05,3.44428262906e-05,1,1,19.2323288918
78,3.45077e-05,3.44136642525e-05,1,1,19.4390568733
79,3.44682e-05,3.43853680533e-05,1,1,19.1115450859
80,3.44391e-05,3.43583451468e-05,1,1,19.3484408855
81,3.44018e-05,3.43309693562e-05,1,1,19.3505067825
82,3.43987e-05,3.43043320754e-05,1,1,19.241658926
83,3.43773e-05,3.42785679095e-05,1,1,19.2039110661
84,3.43456e-05,3.42533276125e-05,1,1,19.3625020981
85,3.43268e-05,3.42280909535e-05,1,1,19.0975599289
86,3.42709e-05,3.42038983945e-05,1,1,19.2063190937
87,3.42536e-05,3.41800332535e-05,1,1,19.4127140045
88,3.42574e-05,3.41570084856e-05,0,1,19.1449661255
89,3.42152e-05,3.41336854035e-05,1,1,19.1798679829
90,3.42236e-05,3.41113336617e-05,0,1,19.4092140198
91,3.41886e-05,3.40892802342e-05,1,1,19.0971460342
92,3.41667e-05,3.40680744557e-05,1,1,19.1572721004
93,3.41429e-05,3.40468723152e-05,1,1,19.466504097
94,3.41315e-05,3.40257174685e-05,1,1,19.1614460945
95,3.41055e-05,3.40055048582e-05,1,1,19.2238540649
96,3.40579e-05,3.3985452319e-05,1,1,19.4561851025
97,3.40518e-05,3.3965894545e-05,1,1,19.0834898949
98,3.40443e-05,3.39463513228e-05,1,1,19.2049739361
99,3.40138e-05,3.39273137797e-05,1,1,19.4511151314
100,3.3994e-05,3.3908891055e-05,1,1,19.1412708759
101,3.39956e-05,3.38905556418e-05,0,1,19.2594769001
102,3.397e-05,3.38724676112e-05,1,1,19.2744970322
103,3.39611e-05,3.38548597938e-05,1,1,19.1890530586
104,3.39417e-05,3.38375393767e-05,1,1,19.1903071404
105,3.39179e-05,3.38205973094e-05,1,1,19.3601019382
106,3.3891e-05,3.38032514264e-05,1,1,19.0581262112
107,3.38824e-05,3.37866913469e-05,1,1,19.178071022
